3,3,1,5,5,4,21
1,2,2,5,6,5,21
0,4,2,4,7,3,20
4,2,3,2,6,3,20
5,2,1,6,5,2,21
2,3,2,2,6,4,19
5,0,3,6,7,1,22
3,4,3,2,6,3,21
1,4,4,0,10,2,21
4,5,2,4,4,2,21
3,3,3,3,4,5,21
5,4,4,2,4,2,21
4,2,1,5,7,2,21
4,1,2,3,9,2,21
5,2,5,3,4,3,22
2,2,5,1,7,4,21
5,2,3,5,4,2,21
4,6,2,2,8,1,23
4,2,2,3,5,4,20
4,5,4,3,3,3,22
0,6,2,7,3,4,22
1,2,2,7,8,1,21
2,5,4,6,1,4,22
3,3,5,1,5,2,19
6,3,3,5,3,2,22
1,1,1,2,7,9,21
3,1,3,6,5,3,21
3,2,6,2,6,4,23
2,4,1,1,7,4,19
2,4,2,5,5,3,21
2,7,3,2,6,3,23
5,3,4,4,4,0,20
5,2,2,6,5,1,21
4,3,3,2,8,4,24
0,5,3,4,5,4,21
4,3,2,7,4,1,21
2,1,6,4,4,3,20
4,2,1,3,7,3,20
7,3,0,3,6,2,21
5,3,1,2,7,3,21
3,2,2,4,8,2,21
2,4,3,2,3,8,22
7,2,0,5,4,4,22
1,3,5,4,6,2,21
4,4,2,4,7,1,22
1,3,3,1,7,5,20
3,3,3,2,8,2,21
5,3,0,5,4,4,21
4,1,1,4,8,3,21
4,4,2,3,2,6,21
2,0,4,8,1,4,19
4,3,3,3,6,2,21
3,3,3,5,3,3,20
6,5,2,2,3,2,20
4,6,2,3,5,2,22
6,5,5,3,2,2,23
0,1,4,4,5,6,20
6,5,3,5,3,1,23
1,6,3,5,2,4,21
1,3,1,4,7,4,20
7,2,2,3,7,1,22
4,4,3,3,3,4,21
2,3,1,4,9,3,22
2,1,2,6,6,4,21
1,1,3,4,4,8,21
1,3,2,2,9,4,21
3,4,2,2,5,4,20
0,2,4,5,3,6,20
4,3,5,1,1,8,22
5,4,5,2,1,4,21
3,2,1,6,5,3,20
3,8,2,1,3,4,21
4,2,5,5,2,3,21
1,8,3,5,2,3,22
4,4,2,3,5,4,22
1,1,5,6,4,4,21
2,2,3,7,3,4,21
3,5,1,7,1,0,17
2,6,4,1,3,3,19
4,3,1,7,6,1,22
4,4,2,3,7,1,21
4,1,1,6,6,2,20
5,3,4,3,2,3,20
3,2,1,5,4,2,17
1,1,5,3,6,2,18
3,4,2,3,3,6,21
1,3,5,2,3,7,21
2,1,5,7,1,5,21
3,3,5,3,3,5,22
1,6,2,4,4,4,21
3,2,3,5,3,3,19
4,5,4,1,3,3,20
4,8,2,2,1,5,22
6,3,4,5,1,1,20
2,2,3,2,3,9,21
4,2,1,1,4,8,20
6,6,0,4,2,5,23
4,4,1,2,4,5,20
2,4,5,5,4,2,22
4,1,6,2,2,5,20
5,2,2,4,1,6,20
1,3,3,7,2,5,21
4,5,0,7,1,4,21
4,5,4,3,0,4,20
2,2,0,5,4,7,20
2,2,4,3,3,5,19
1,6,4,3,3,4,21
3,3,3,4,3,5,21
5,2,5,5,3,2,22
3,1,5,3,4,5,21
4,1,5,4,2,4,20
2,3,1,7,3,4,20
2,3,3,5,3,5,21
6,4,2,3,2,1,18
4,2,3,4,4,3,20
4,0,4,4,3,4,19
